-0.5  0.5   0.0
 0.5  1.5   0.00797313  0.000797313
 1.5  2.5   0.00933382  0.000933382
 2.5  3.5   0.0110336   0.00338779
 3.5  4.5   0.0121792   0.00121792
 4.5  5.5   0.013555    0.0013555
 5.5  6.5   0.0154076   0.00230706
 6.5  7.5   0.0         0.0
 7.5  8.5   0.00561466  0.00224185
 8.5  9.5   0.00646506  0.000896641
 9.5  10.5  0.00841324  0.000841324
 10.5 11.5  0.0082756   0.00082756
 11.5 12.5  0.00881816  0.000881816
 12.5 13.5  0.0219723   0.060526
 13.5 14.5  0.022775    0.00997347
