10.5 11.5 6.5 10.5 0    50    1.   0.222  0.003  0.003  0.203  0.010  0.010
10.5 11.5 6.5 10.5 50   100   1.   0.250  0.003  0.003  0.259  0.010  0.010
10.5 11.5 6.5 10.5 100  150   1.   0.288  0.004  0.004  0.298  0.121  0.121
10.5 11.5 6.5 10.5 150  250   1.   0.332  0.003  0.003  0.337  0.107  0.107
10.5 11.5 6.5 10.5 250  400   1.   0.335  0.005  0.005  0.344  0.151  0.151
10.5 11.5 6.5 10.5 400  700   1.   0.319  0.009  0.009  0.347  0.253  0.253
10.5 11.5 6.5 10.5 700  1e+06 1.   0.319  0.009  0.009  0.347  0.253  0.253
10.5 11.5 5.5 6.5  0    100   1.   0.408  0.005  0.005  0.386  0.015  0.015
10.5 11.5 5.5 6.5  100  150   1.   0.627  0.005  0.005  0.615  0.015  0.015
10.5 11.5 5.5 6.5  150  200   1.   0.675  0.004  0.004  0.666  0.014  0.014
10.5 11.5 5.5 6.5  200  250   1.   0.707  0.005  0.005  0.685  0.015  0.015
10.5 11.5 5.5 6.5  250  400   1.   0.789  0.004  0.004  0.739  0.013  0.013
10.5 11.5 5.5 6.5  400  700   1.   0.856  0.005  0.005  0.769  0.017  0.017
10.5 11.5 5.5 6.5  700  1e+06 1.   0.856  0.005  0.005  0.769  0.017  0.017
12.5 13.5 6.5 10.5 0    300   1.   0.281  0.004  0.004  0.305  0.010  0.010
12.5 13.5 6.5 10.5 300  450   1.   0.495  0.003  0.003  0.538  0.011  0.011
12.5 13.5 6.5 10.5 450  600   1.   0.533  0.004  0.004  0.606  0.011  0.011
12.5 13.5 6.5 10.5 600  900   1.   0.480  0.004  0.004  0.549  0.013  0.013
12.5 13.5 6.5 10.5 900  3000  1.   0.375  0.006  0.006  0.453  0.017  0.017
12.5 13.5 6.5 10.5 3000 1e+06 1.   0.375  0.006  0.006  0.453  0.017  0.017
12.5 13.5 5.5 6.5  0    300   1.   0.470  0.006  0.006  0.476  0.013  0.013
12.5 13.5 5.5 6.5  300  450   1.   0.754  0.004  0.004  0.762  0.012  0.012
12.5 13.5 5.5 6.5  450  600   1.   0.855  0.003  0.003  0.866  0.008  0.008
12.5 13.5 5.5 6.5  600  900   1.   0.878  0.002  0.002  0.871  0.007  0.007
12.5 13.5 5.5 6.5  900  1500  1.   0.875  0.002  0.002  0.864  0.007  0.007
12.5 13.5 5.5 6.5  1500 3000  1.   0.893  0.002  0.002  0.890  0.005  0.005
12.5 13.5 5.5 6.5  3000 1e+06 1.   0.893  0.002  0.002  0.890  0.005  0.005
