recoP,trueP,recoTheta,trueTheta
10.078945,6.236273,8.491904,8.244502
0.962346,0.981932,10.506931,11.028873
1.275612,1.378104,24.666167,20.954062
2.210355,2.388186,20.468515,20.389567
1.014994,1.032514,27.374197,26.555635
1.892540,1.716859,39.668160,36.733058
3.222344,2.980236,14.326181,6.530688
4.438912,6.162836,8.169718,7.989473
1.173413,1.214803,24.239012,23.094001
0.666885,0.675511,42.592526,45.299279
1.731394,1.841736,23.326693,20.704913
6.011872,8.139876,1.491085,1.514266
1.791013,1.744723,13.508558,15.174413
0.513930,0.315039,29.849573,30.853087
2.007831,3.659121,16.606464,15.010661
2.374224,1.613686,39.576164,38.643966
4.757331,4.234863,6.115454,5.441181
0.558775,0.454296,54.941699,55.192276
1.857467,1.237787,21.874296,21.609089
2.176830,2.192200,8.874647,8.193643
2.866426,2.905420,11.873034,11.504186
2.608950,2.749293,8.489221,9.456814
26.609459,10.038793,5.120210,5.741361
0.566337,0.767449,34.064581,26.320753
1.948054,1.974121,29.151265,28.851186
1.843166,1.852752,29.168913,25.072173
0.828463,0.842270,37.081114,35.788280
1.921892,1.626815,3.884134,5.187765
2.825303,2.964731,24.823998,24.492190
0.829325,0.936248,53.026100,51.783894
0.971110,0.934188,6.463140,6.461593
6.357545,4.891438,6.965396,6.685627
3.746429,4.155147,9.613189,9.143852
3.248690,3.322329,16.628090,15.625092
1.769659,1.983781,19.869075,14.847997
4.205092,3.662658,24.875309,22.330178
2.374036,2.423562,18.964097,17.096897
9.140633,9.996254,6.417868,5.612552
1.719250,1.089673,11.590308,18.265123
10.438914,7.737560,12.425179,12.792697
3.252305,0.930330,50.257148,47.567549
8.206819,7.630974,13.577189,8.252786
3.172760,2.913521,11.018604,10.922830
2.192802,1.993847,17.794072,9.397830
1.423510,1.376569,15.542871,16.356469
2.258128,2.177480,10.524277,9.445230
1.392320,1.298486,43.107493,43.837675
10.287315,7.953029,5.043098,5.454454
1.037822,1.056944,36.855067,35.623824
2.200132,2.003672,29.126619,26.177037
2.104846,2.350737,5.526163,6.349651
0.944564,0.926336,18.201993,19.062037
2.198752,2.003107,10.691115,7.764098
0.884837,1.258484,45.399302,43.173633
1.573170,1.521619,18.685214,13.699559
1.154420,1.166303,32.882875,31.004164
3.413192,3.256433,7.398443,4.112184
5.774420,4.141651,15.555114,14.784067
2.660091,2.810905,12.913624,12.819521
4.679914,4.492884,22.854289,22.229192
2.541441,1.850892,18.009796,17.519844
3.285398,2.688839,7.125629,9.542048
2.151531,1.755975,19.296584,19.548017
5.066885,6.300590,12.693330,10.922308
4.764254,4.266933,13.345071,13.089346
1.229523,1.210725,28.582723,23.731265
3.600749,3.368886,8.852616,9.027283
1.990783,2.101925,21.942520,20.704971
0.727480,0.742061,23.144952,22.626896
2.869719,2.807736,14.388432,14.067683
2.231608,2.134420,22.958735,16.159011
0.701747,0.717255,51.878750,48.330594
5.338758,5.446131,6.529397,4.407978
1.195702,1.259324,18.949768,21.196381
0.727532,0.717964,20.634789,17.249112
0.489805,0.521206,20.304136,18.238299
3.383125,3.704216,22.798645,20.168022
1.608704,1.859048,14.131133,14.659302
3.915375,4.203395,20.627025,19.592163
1.138297,1.108455,39.160144,40.378353
2.555739,2.371911,20.340794,20.060881
6.962087,2.266752,13.261514,13.759763
3.054242,3.949478,13.689952,13.705888
0.725708,0.754603,31.578190,32.002076
4.412383,4.310652,16.104019,15.459928
1.248077,1.190830,14.318988,12.505584
8.022374,4.884494,5.947947,5.954337
2.555750,2.373089,11.904630,14.248659
6.962542,6.079299,5.513844,5.147079
5.829897,13.755504,0.533025,0.774555
4.944825,5.871665,5.912413,5.834320
2.468762,2.900870,13.097185,12.581785
2.849607,2.879022,14.873231,13.476225
1.421042,1.370238,28.890978,29.520484
5.267410,5.124218,15.751653,15.534903
2.971071,3.386782,8.814810,8.972334
11.280668,8.280396,5.217855,4.511409
3.436820,2.741375,8.760961,7.981902
1.099657,1.311226,20.155389,17.902109
0.887821,0.972274,13.506511,13.306399
0.900002,0.953926,33.247511,31.967021
3.190156,3.217109,15.282067,15.328785
0.601211,0.533983,41.272887,38.944238
4.621402,6.744623,5.394486,5.204921
2.655334,2.506166,18.660254,17.217458
5.536974,8.938692,8.395197,7.924219
1.074706,1.186216,13.604758,15.242069
3.624147,3.125518,10.333234,10.641019
2.973442,2.740456,29.529229,21.855653
2.741378,4.294811,5.374324,5.490872
4.488107,8.421665,1.155552,0.807213
3.245479,3.177123,5.526944,5.534491
0.664819,1.079241,28.297527,32.017712
4.008757,4.995908,9.532113,8.643906
3.343165,4.511730,16.057069,16.922461
1.539704,4.036434,13.357967,15.805670
1.187788,1.194069,12.475014,12.028393
4.903577,1.712771,20.408869,18.714666
5.757261,5.430102,7.745420,7.640131
2.508874,3.339737,20.660018,19.307391
1.606743,1.181591,15.235131,13.093809
4.639743,5.180173,4.933282,4.906882
2.470395,2.362938,13.811243,12.564073
7.819351,9.815707,6.760191,5.772615
1.985495,1.974036,23.797723,18.625341
4.903743,4.627962,9.378989,8.675094
3.469327,4.099181,12.274816,12.348554
9.719319,6.883179,3.084578,2.566282
2.768488,2.774868,16.442737,14.092376
2.471855,2.791904,24.459590,23.710602
0.613210,0.619119,19.814602,18.157652
3.592573,1.925153,28.342218,27.468109
1.516720,1.603067,42.131603,41.427907
1.587498,1.491758,20.208960,18.540391
3.935094,4.834049,5.605109,2.341677
5.079598,4.417115,11.351628,10.592844
0.735987,0.652942,22.264128,18.245129
5.427581,5.668573,17.930318,18.361973
1.809955,1.593921,32.542379,31.698179
0.651544,0.716821,36.736860,33.506778
4.179505,4.717648,5.294131,4.693189
0.578109,0.521529,33.728303,39.483586
4.851003,4.914605,8.257971,6.030102
3.066480,0.800776,60.630572,62.070605
3.099017,3.126105,19.397535,19.558333
1.442188,1.218940,23.014633,18.131662
1.362967,1.293200,7.981853,6.289274
2.632397,2.704720,10.689513,8.401651
5.048329,4.710426,10.879581,10.713183
2.217670,2.393180,19.085644,17.000531
1.630450,1.477939,34.039716,33.612942
1.372759,1.290315,37.887385,39.668925
2.847114,2.824520,11.346683,11.680712
5.975702,4.938507,3.444862,2.995455
2.790246,2.786075,15.357309,14.949926
1.032595,1.362497,35.849722,35.496130
2.432587,2.273338,16.884300,16.977997
3.127563,5.586672,4.035947,3.501013
4.847911,5.330964,19.989374,18.805786
0.916834,0.931194,37.706562,36.602435
1.376651,1.479712,7.249332,6.374675
3.440973,1.533535,44.234148,42.808581
1.701473,1.772231,21.156514,20.131598
3.394838,3.308846,18.273044,18.373136
2.944841,3.447862,19.987136,19.058010
1.433213,1.284564,31.975451,25.838387
3.088059,3.165694,9.982174,7.453509
0.694227,0.696040,42.769650,39.330973
1.308883,1.179932,33.248060,33.730535
8.539554,6.148773,6.101365,6.433584
9.956644,11.407918,5.363337,4.999123
8.001857,8.347887,1.184321,1.244584
12.467615,10.792346,11.290863,11.450019
5.172626,7.166302,9.683305,9.654492
1.155095,1.178192,19.853836,10.273816
3.442158,2.778980,15.868327,14.706634
6.073253,6.735091,5.193766,5.341151
2.557153,2.737065,3.521811,3.090348
2.337314,1.871918,15.157090,7.965727
8.383763,5.125201,10.720345,11.035298
0.764280,0.720196,29.862539,29.385703
1.313592,1.430920,9.020359,5.961049
3.222447,2.745218,28.425516,28.428386
0.603388,0.607244,22.091384,22.016630
3.763079,5.459748,16.915267,13.521301
12.123437,9.226535,9.594274,9.233951
2.328136,2.324196,13.493023,10.288855
0.980496,0.961674,16.643169,17.700196
3.749225,3.694534,9.218551,8.824388
1.546193,1.343078,20.064604,26.518960
6.264324,6.090139,9.414067,8.760198
4.761431,4.663123,13.917462,13.157317
0.746523,0.775933,46.728602,23.824521
2.231160,2.397400,18.933366,19.093257
4.349606,7.678275,9.587920,9.875816
1.254738,1.724196,30.858833,29.698770
1.454825,2.550940,9.236632,12.102062
1.018860,1.166140,45.876928,41.066079
1.940172,1.970555,15.524112,14.011909
0.611883,0.702177,25.158379,28.670443
6.505126,6.581072,1.990168,1.582019
2.293030,2.433180,8.394916,8.414426
7.108284,5.995432,5.656760,5.533110
0.308526,0.341327,46.800762,51.991092
4.207160,4.133170,20.599447,17.490381
3.190550,3.174125,5.413668,5.300271
8.189694,7.308355,3.591614,3.900886
2.353613,3.167820,24.467078,23.405981
4.739453,6.133744,15.400255,14.548098
1.858268,1.549074,26.564801,26.330672
10.876980,9.781747,14.999515,14.576119
0.862355,1.002128,15.505651,15.776618
2.903064,2.857083,25.103762,23.777928
1.369835,1.265345,34.883744,34.116968
7.530227,7.103677,4.607002,4.078471
0.990489,0.998828,18.373754,18.884204
9.799021,7.971045,3.930292,4.028565
5.260537,4.269379,18.690650,15.256923
1.923470,1.161969,21.521501,17.709314
1.011474,1.115132,36.474306,33.397419
1.410663,2.023597,18.568285,18.973143
0.920850,0.873803,17.082975,17.359471
2.783924,2.599066,4.545278,4.729943
2.494828,2.399464,34.908840,30.738062
3.446087,2.942575,4.617110,4.590518
1.843310,1.769423,25.395902,19.896880
1.450136,1.443289,18.419009,17.583624
3.332831,5.729097,5.074855,4.230914
6.431011,4.602972,9.992630,10.163105
7.120901,7.482072,8.959800,9.770223
1.607699,1.504178,27.491770,27.755895
1.341845,1.269460,23.262028,21.148309
5.996500,4.716481,10.030661,9.335447
2.690394,2.256408,21.977497,20.513498
5.593603,6.507158,13.250135,12.866719
2.573810,2.533932,14.370101,14.277310
4.087308,4.539675,13.198916,12.641175
0.870304,0.932388,31.334470,29.261733
10.893774,12.265084,4.004968,3.733132
1.570323,1.492060,26.382165,24.773688
0.866930,1.275209,24.630792,25.744929
2.038049,1.927348,14.388377,13.522148
0.932041,0.969033,36.211479,31.750032
2.943073,0.933611,9.093492,11.645489
1.401993,1.650956,12.254705,11.414922
8.344059,6.908433,6.577602,6.416188
1.250174,1.385382,20.629003,20.502210
2.536265,2.530657,16.259929,15.395908
11.483950,9.692857,9.800023,9.593004
5.736489,7.267077,8.398191,9.411018
8.242122,6.423946,8.736600,8.535663
2.695807,2.525190,14.916994,12.502682
1.399758,1.165775,46.273562,29.727412
1.451302,1.380621,26.646250,26.327053
3.007684,3.360680,18.930724,17.993883
0.864111,0.882880,53.286727,50.816375
0.765021,0.784088,28.811684,27.287743
2.498808,2.226292,18.300330,18.590311
0.173470,0.632116,37.101182,25.180895
2.919060,3.040419,9.695560,10.595017
6.938436,4.546427,17.462202,16.253146
2.172775,2.402926,11.455591,10.492670
5.319313,3.696905,26.384271,25.336680
42.969305,10.941507,6.202607,6.229920
1.725349,1.677236,18.582458,20.984103
9.116969,12.625442,3.784911,3.620014
3.368389,3.590696,26.250407,24.936810
2.027212,2.426342,23.242572,23.283723
0.692158,0.824593,41.980042,41.038062
2.081568,2.096420,23.747485,24.211613
4.150067,4.466975,12.167970,11.907659
6.612384,5.353710,14.058956,14.256011
0.642198,0.648085,25.509924,21.092362
11.472904,7.437823,7.155960,7.437169
1.822623,0.828864,38.643841,40.799433
4.878323,6.155995,8.586867,7.828848
5.166716,5.050230,6.874122,6.653842
5.523256,4.123891,10.539262,10.549582
6.116853,6.241614,5.519031,6.136607
3.661758,4.369494,21.216943,20.949191
4.950124,5.673362,9.223261,9.113523
3.142666,3.177647,10.383964,9.780240
9.831275,7.911108,5.045040,5.142128
0.948598,0.911987,25.551516,20.856401
3.424742,3.132478,0.689270,0.981583
2.636853,2.521753,20.084423,20.082285
3.528672,3.632382,15.430113,15.096367
3.306377,3.898355,11.231631,10.948483
11.419074,10.552012,7.870133,7.913635
5.496004,4.399359,14.125201,10.941360
4.318729,4.918759,17.616502,15.413662
1.503382,1.584569,20.893185,18.910524
0.756322,0.332262,20.955055,29.384025
0.451935,0.477931,25.974567,35.496188
12.216949,8.093965,3.504367,4.665351
25.694258,5.503545,10.899646,10.565276
4.948082,5.034319,8.842580,8.282852
2.250611,2.093608,21.755782,19.142182
3.680987,3.347164,9.779919,10.150982
1.516303,1.517736,23.318688,22.502083
2.039733,1.424228,7.735176,6.807979
1.352282,1.279022,17.481971,18.725254
3.954890,4.310089,14.203049,14.676511
2.485032,1.959799,19.226072,20.115855
4.255026,4.822187,2.519405,2.936183
4.110422,5.722753,8.816147,8.444828
4.289656,4.836056,13.889847,13.927667
3.429233,3.977756,5.610736,4.594143
0.547195,0.538163,36.251065,39.871969
0.994250,1.997132,19.259045,16.129903
3.771109,4.057672,3.209430,3.422282
4.661142,4.994091,17.983212,11.594063
1.905071,1.823147,14.318933,10.973198
1.988666,5.203260,11.633471,11.780656
0.709475,0.667614,21.537525,21.812662
1.136024,1.223359,10.556500,10.943159
1.890076,2.833948,29.934018,28.352654
3.065194,2.859417,10.273126,10.026915
4.232838,4.274660,6.718781,10.804052
41.011754,2.177122,28.208688,27.251645
3.848196,4.097074,6.210283,5.905248
6.304568,5.306188,13.079963,12.808789
2.823491,2.754863,11.960804,12.647010
9.632578,11.490781,4.272418,4.770769
2.409364,2.320926,15.048773,15.671735
3.705260,3.755171,16.764694,16.974301
1.555100,1.819808,21.653937,21.307350
1.735632,2.097417,10.974382,10.788902
1.923347,1.799806,21.172103,20.122964
1.594135,1.310162,10.681612,7.668335
4.708835,4.218799,14.105316,13.069818
2.981698,2.846220,12.291367,11.841089
1.114474,1.085631,31.330451,34.555300
0.849240,0.874786,25.413407,27.768102
1.513444,1.472505,19.822439,21.684181
14.438781,10.411668,2.166634,1.743160
1.421851,1.455981,27.512906,26.020690
1.176713,1.174766,47.535114,45.883745
3.047360,2.633198,17.534201,14.999924
1.871012,1.673098,20.088063,18.125175
3.662866,4.462742,18.033849,18.089232
5.092592,3.790991,17.892319,16.290016
10.356416,4.820468,9.449308,9.027196
5.662466,2.990848,10.812703,11.600672
1.206070,1.211448,25.090356,23.614075
2.097515,1.891631,20.955724,21.848846
8.339494,5.509604,3.024915,2.672470
17.775070,15.233250,3.133066,3.186719
1.294089,1.329954,8.121972,7.145644
4.686972,4.431318,4.929905,4.506065
2.141582,1.969039,9.890042,8.951617
12.378589,9.833179,3.760048,3.864472
0.858721,1.626821,19.666619,11.578743
23.150662,9.049534,6.053301,6.082443
1.886930,1.892186,18.053485,17.060803
1.519343,1.523893,22.552883,22.515902
0.998936,1.241322,47.694211,46.213287
13.611347,9.639046,5.049039,4.942130
3.314851,3.431990,10.391787,10.020519
2.588736,3.787564,12.833628,13.214821
2.178373,2.224177,9.523551,9.183674
3.579735,4.063624,16.901799,16.662534
7.138275,6.657890,6.276355,5.228696
0.603729,0.597497,34.242085,37.035630
3.012679,3.056505,8.393840,10.074935
3.776978,3.992239,19.776586,18.883318
2.147640,2.037527,15.294112,16.036350
0.873558,0.861487,34.849490,35.776611
0.979799,0.980259,29.402805,29.502840
2.844242,4.468748,11.945040,11.670367
2.610448,2.440942,21.001691,20.147290
2.514107,3.069993,16.338645,16.306055
0.555021,0.461750,28.796246,23.686845
37.797012,2.774895,20.827173,18.971462
1.500907,1.567962,8.058783,4.933996
1.134230,0.960986,27.338621,24.917347
0.637260,0.628630,5.454921,12.345759
0.996355,1.110402,23.940808,20.863374
1.226473,1.256611,25.179924,23.793593
3.610383,3.053068,22.509489,21.144939
1.433134,1.410778,35.017970,34.225762
