recoP,trueP,recoTheta,trueTheta
0.511007,0.528555,6.183772,5.940824
1.938443,1.905664,9.939014,9.463068
2.992318,2.369341,10.004451,10.876287
1.125285,1.123191,12.386375,8.647791
1.188546,1.140316,21.869263,22.297482
4.835656,4.907354,4.471725,3.088764
1.778904,1.781644,16.821302,15.592079
0.494412,0.628619,30.924332,30.365098
1.858298,1.680335,22.485793,21.034170
3.358141,3.333401,6.736709,5.802992
0.653588,0.660430,15.082527,11.511735
5.752060,5.392700,2.871808,2.990943
0.933240,0.927171,23.191521,20.513459
1.244102,1.343579,23.305191,20.476892
10.469218,8.410235,4.505457,4.238869
1.074234,1.163752,41.909493,37.086862
1.249465,1.309348,8.697346,7.997528
8.320260,6.360376,3.247090,3.322250
2.231505,1.897895,8.024753,17.141737
6.088155,4.447819,4.266363,3.690084
1.418595,1.373099,12.945600,13.246052
1.077509,1.016071,9.232737,12.197569
18.740047,18.444354,2.890831,2.976114
0.641363,0.676463,40.850126,42.507254
1.568037,1.474088,7.587110,9.367456
8.739907,6.283661,0.976987,0.923021
1.831572,2.123086,8.323881,7.360607
0.884251,0.960626,12.958962,12.789720
3.483383,3.698774,2.623162,2.414516
1.434710,1.653772,15.035957,14.838719
0.830613,0.918183,33.622294,32.022871
0.821040,0.827245,33.891007,32.483880
2.127133,2.287891,8.287995,8.144518
2.275623,2.131584,11.660199,9.668391
2.354199,2.511143,12.421401,13.091351
0.883856,0.890723,31.437343,30.520977
5.737456,4.357125,5.608605,4.763824
1.180904,0.746098,22.507241,19.812940
2.489260,2.417741,17.293190,16.346037
7.696197,12.318840,4.415658,4.322278
0.782974,0.800924,31.008009,28.975278
1.258955,1.225842,18.356953,18.295924
1.239848,1.271782,21.335293,19.553987
1.593354,1.654419,5.274329,8.766587
3.530145,4.149193,8.091603,8.420119
6.810282,6.922624,5.181340,4.408200
4.830905,4.340059,7.054327,6.075025
2.757232,3.306668,6.509455,6.119972
1.148069,1.108133,19.288728,17.315338
1.484646,0.590582,17.483767,11.381554
1.885414,1.888217,11.752941,9.845344
12.905203,2.673941,8.272439,7.969300
0.864322,0.806425,33.144760,27.105476
0.692342,0.690715,43.009549,40.539082
11.018594,9.373491,3.288965,3.423369
1.196040,1.104944,22.330780,22.790729
3.889589,4.662657,12.357158,12.404862
3.826832,3.136081,12.502098,12.013668
1.118320,0.423533,19.210053,5.736750
4.005854,4.160075,9.968867,11.018228
1.049627,1.036594,24.458072,23.491356
1.460955,1.609841,13.251819,12.620810
7.276865,6.908025,4.983383,4.127870
0.826637,0.855468,26.600532,26.110040
2.455147,2.056103,14.361222,13.980605
1.372549,1.442466,19.753429,20.740025
1.423668,1.530291,22.466614,7.401625
0.505814,0.514816,14.334777,7.212704
0.611108,0.610446,34.538961,34.216671
2.093365,1.924077,15.592727,14.850942
1.316499,1.507162,4.034248,3.609126
1.538323,1.608471,13.576345,13.349687
1.543415,1.575547,17.569748,16.020729
16.956033,17.867635,1.020100,0.713267
0.795855,0.819416,28.161466,28.521060
7.811504,6.393763,3.685624,3.669385
0.768155,0.825997,54.701189,51.612120
3.902062,4.196772,3.144542,2.583993
4.576376,4.391848,16.434785,17.680056
1.345917,1.400982,29.488968,28.816736
8.100411,7.596541,3.454851,3.282649
1.030827,1.071807,14.898462,12.302912
0.644879,0.686739,25.552886,26.238908
2.073031,2.237599,7.658014,7.950953
2.397451,2.225026,10.761099,9.176910
1.795055,1.575941,65.583333,14.574423
8.201157,5.292888,4.884232,3.866397
0.942851,0.870085,32.811078,29.722949
1.250087,1.223018,22.339425,23.208426
2.013812,2.023637,14.026444,13.285179
5.550381,5.225622,0.702208,0.830159
2.716369,3.655900,6.796359,6.221480
3.620079,3.319954,16.433589,18.596727
0.345249,0.354639,26.655759,25.082600
0.987412,1.359387,17.226167,18.183387
2.805032,3.187832,4.460234,3.563923
3.167808,3.988007,18.261909,15.543763
2.540066,2.611386,7.182339,4.915897
1.450836,1.423248,12.593835,11.170186
4.620622,2.695316,16.663749,15.189800
3.313449,4.027359,9.031331,7.262149
1.085727,1.186814,26.815970,26.470020
4.984523,3.756248,7.083964,6.643578
2.491082,1.301942,21.635030,22.086616
0.436773,0.479652,44.575359,42.167404
3.550387,4.011053,4.215704,4.340275
1.735704,1.738465,14.367761,14.825431
1.995230,2.049345,13.615178,13.285342
2.192497,2.124587,2.974074,3.272494
0.773846,0.729605,19.414279,18.875244
2.496925,2.478749,1.834297,2.256981
1.464349,1.980528,16.034446,17.049508
4.466586,4.557487,7.041663,7.310859
2.916026,2.914743,8.441222,7.780083
1.702672,1.684793,7.253120,7.667669
14.693329,13.454690,3.850258,3.697399
1.420971,1.457268,16.861015,16.920408
1.561229,1.523958,41.209712,41.727884
2.293757,2.461229,11.066156,10.186459
1.009322,0.974472,42.005998,38.726612
3.143257,2.052370,30.841125,28.343182
2.240231,2.203830,9.911017,9.437110
2.842938,3.070020,8.541529,10.393737
0.985077,1.053576,14.277241,15.169232
0.745776,0.760572,32.365069,31.317254
0.643931,0.652286,58.958145,57.436832
2.015900,1.865289,12.022377,11.162920
4.092597,3.884927,15.997498,8.462993
1.469142,1.582913,10.014826,7.844527
17.569863,10.827854,5.493869,5.430510
1.280177,1.136918,19.359989,16.792365
0.683953,0.957156,33.266275,36.518329
6.951825,6.060699,3.310029,2.849912
0.726205,0.722212,7.802378,8.763270
3.706488,3.781530,1.605838,1.642110
2.093652,1.315667,23.162244,23.484039
2.625125,2.463096,10.469917,9.988673
0.523775,0.436031,28.933777,33.105558
1.729871,1.581277,13.719358,11.967575
6.796098,2.687947,11.700633,12.218532
0.513650,0.547758,31.234402,33.324038
16.996871,11.457608,3.580859,3.564966
1.781330,1.854693,12.203532,11.922645
5.988969,7.171002,5.083612,4.696778
9.802490,6.918339,1.518009,1.388326
2.546894,2.485706,10.028210,10.309351
1.850155,1.881076,18.213884,18.358482
0.584514,0.605242,21.758620,21.661090
3.596632,3.391561,8.975880,7.589670
0.597072,0.623121,30.179735,31.041198
1.274251,1.178173,16.678939,15.324314
0.420064,0.970263,47.436726,45.919734
2.050332,1.910152,14.052305,15.145735
1.373740,1.657957,6.409981,6.364425
2.371569,2.282356,29.758162,27.769077
1.375110,1.396421,9.206627,7.311342
1.647258,1.407952,19.033301,18.110107
1.050431,1.042194,17.829397,15.302383
0.422430,0.428934,28.177389,28.774700
3.867041,4.475559,9.591282,9.755501
13.229249,11.648186,7.104289,5.514946
1.969449,1.732176,14.810836,13.646711
0.723992,0.732571,24.065822,21.570479
4.512825,4.902358,1.924781,1.918671
11.138323,6.111822,3.740469,3.590197
2.708998,2.638854,2.428499,2.010129
1.644312,1.815113,22.266904,22.660479
2.736711,2.403460,9.296016,8.647836
1.573837,1.667290,18.859646,17.771194
4.502368,2.565165,12.758427,12.313741
8.617481,5.907472,1.217079,1.523157
1.069158,0.969256,31.645891,31.045682
0.767244,0.822912,23.413175,22.232577
5.636530,3.474982,3.599347,2.524294
1.091199,1.010453,19.800150,19.402388
1.218209,1.131133,15.356548,21.923951
6.272383,5.187328,8.936064,9.543531
3.271414,2.729318,5.888661,4.298969
0.859223,0.824929,20.501664,24.715221
4.243109,3.229616,8.743702,7.362420
3.819830,3.967459,7.663598,6.236336
0.694453,0.702344,23.216337,23.022267
1.417171,1.253517,37.341117,36.368550
0.598659,1.351115,36.736883,36.821061
2.062926,1.952420,5.604025,5.786993
1.215050,1.231836,14.790235,15.467972
0.672247,0.708360,31.238452,32.186664
1.532296,1.542431,16.215375,12.447000
1.648979,1.543868,24.090289,24.100169
3.443426,4.239549,10.999236,10.916033
2.045379,2.242032,14.285132,14.118833
1.709345,2.321677,7.764275,6.237217
3.507756,3.580792,8.209515,8.153793
0.501788,0.605355,34.750594,32.195055
0.499054,0.522188,28.164635,28.322926
2.676728,2.474052,12.471867,10.613408
1.442476,1.423687,24.174121,19.738145
1.106514,1.049813,17.846432,17.775233
1.574246,2.511799,13.609867,14.104195
4.108404,2.999092,20.888416,14.615854
0.638091,0.516783,37.719699,33.118793
7.797638,6.169354,3.900836,3.693319
2.077971,2.146102,13.618950,12.873725
5.276617,5.100554,7.970113,7.555592
1.338421,1.319474,14.276466,15.211916
1.306605,1.326630,6.441625,7.262338
1.400998,1.236500,23.849332,23.915464
1.022769,1.051484,11.721429,9.110417
1.895599,2.012866,2.526155,2.917255
1.745653,1.597545,17.266690,16.373959
1.921932,2.016523,8.566119,7.410236
1.276622,1.395950,14.345242,14.435687
1.173799,1.144781,27.424297,26.453397
4.959719,4.553503,7.184770,6.603964
