recoP,trueP,recoTheta,trueTheta
0.987862,0.984849,11.046996,11.004872
2.258988,2.482552,4.454961,4.578597
0.560012,0.571896,20.653503,9.755542
1.258177,1.320498,29.943338,28.297340
0.824003,0.954860,28.639955,28.039746
2.083576,1.830456,10.587975,9.176460
0.825456,1.012507,6.615624,12.073980
4.365044,3.637573,8.809705,8.395688
0.754101,0.543503,9.691666,22.217038
0.594011,0.585983,27.069199,24.750834
2.808629,2.184309,15.266368,10.415351
1.162284,1.110144,21.988281,22.719946
2.975442,2.611347,5.137782,1.983667
3.692635,3.825386,10.782497,11.243355
3.892504,3.242962,18.911367,16.571093
6.891134,3.538192,11.344999,8.801206
5.013350,3.151232,7.490512,5.898306
1.927547,1.940130,34.325230,32.788735
1.187890,1.282516,5.476112,5.896844
1.732291,3.240010,15.651406,13.842123
1.521530,1.743078,10.418297,7.378792
1.799038,1.722141,15.531129,14.364072
6.859048,5.344149,0.949769,1.103936
9.308248,4.288459,13.718149,13.820810
2.079685,1.130798,21.296944,20.638926
0.505001,0.558516,16.213234,17.175030
1.020740,0.980089,25.861132,17.408564
3.222612,3.014154,5.060899,5.695915
3.537402,3.950136,6.320093,6.193497
2.108243,1.976440,18.698013,16.960410
6.062169,5.596517,7.141113,6.201880
3.335342,4.044053,19.597041,19.732795
0.709418,0.678148,21.465380,20.160800
1.080721,0.256531,27.046105,20.821169
0.214284,0.419192,22.452659,19.959142
4.045234,4.869447,12.200898,11.998449
0.945674,0.957358,15.884831,16.043828
0.838778,0.833227,20.773443,21.623542
0.273871,0.537951,43.803189,31.605649
3.060759,3.271088,12.803535,11.733795
0.425338,0.482621,31.738640,31.045847
0.774424,0.774053,13.858401,12.928607
1.987308,1.999284,10.840756,9.458394
3.384844,3.209335,2.478914,2.064217
0.958451,0.845689,18.988063,17.649816
0.562040,0.574488,23.365370,17.897320
6.849408,5.134827,10.026268,9.427754
2.886820,2.332864,22.890331,21.844523
9.471947,3.204918,15.905231,15.894336
1.668408,1.819561,15.234572,15.131756
2.859443,2.399662,17.199797,16.240622
3.264012,3.675927,6.477082,8.003319
1.370739,1.384527,17.415378,15.811161
0.524010,0.505067,41.461779,30.366760
4.860078,3.660235,22.474182,22.742818
0.423524,0.605712,21.991682,29.324272
2.819255,2.467992,19.014328,20.493862
0.518179,0.528106,29.080243,29.788154
4.078990,3.248962,13.824240,11.992846
3.480312,3.393545,5.680375,5.475897
1.347103,1.165483,18.991149,11.111063
2.202879,1.973422,6.424067,6.296004
1.157704,1.859662,34.254871,23.459551
2.665237,2.841993,5.108295,5.803532
2.573922,2.532626,6.681285,6.185483
1.354633,1.351952,11.442998,14.384679
9.743907,10.797147,6.580821,6.008314
2.843993,3.401492,7.768243,7.313569
2.007727,2.059490,9.918752,9.998041
2.606040,2.300916,26.674411,27.242642
1.257754,1.262169,26.486565,25.922173
3.588448,3.334043,6.284721,6.124455
3.432993,3.614707,16.611936,16.638637
5.356785,6.965940,4.020926,3.787135
1.301369,1.570478,17.986254,17.432246
0.582227,0.600129,11.812762,12.669685
3.875036,3.614737,13.215224,12.080672
5.177694,4.092910,8.603867,8.801853
2.080131,1.979863,24.894657,24.913294
8.281766,4.472702,13.874873,8.949663
3.516833,4.197694,4.116183,3.895008
1.079113,1.102366,24.278095,23.948003
3.861163,4.472523,11.684372,10.725374
2.737300,2.577293,7.597113,7.593031
3.207523,4.266088,12.744719,11.163097
1.330082,1.242285,26.071183,27.693924
2.661554,2.796941,10.129004,7.180809
3.767403,2.735733,12.452417,12.192994
0.730115,0.733409,43.348817,41.734487
1.071025,1.091447,17.721469,18.384509
3.460510,3.721125,11.284110,11.328512
4.048944,3.968096,2.688244,2.495204
0.724294,0.761256,44.851397,43.981508
0.828707,0.613439,15.157678,19.768166
2.269942,2.906004,45.704233,12.632386
3.428119,0.383483,45.212422,42.970794
2.611793,2.635401,7.192439,6.904642
0.830092,0.820384,17.625256,17.787511
5.852603,5.840711,9.115894,8.797232
2.162548,2.091548,17.910007,18.310409
1.296611,1.384223,16.789303,12.750430
3.651618,3.273135,3.451619,3.789254
1.965210,3.069372,13.988617,14.116704
1.334559,1.218837,18.874188,18.644889
0.901172,0.916560,12.083250,11.327660
2.875964,2.891142,3.047867,3.495248
