recoP,trueP,recoTheta,trueTheta
0.409980,0.456968,43.714180,43.640220
1.320380,1.364186,5.888228,5.982746
0.873708,0.890214,18.498609,18.403016
4.321333,4.920579,4.087297,4.291765
2.544192,2.360321,8.928146,8.690477
2.463629,2.679482,10.873753,10.084165
3.866479,4.073580,4.374929,4.520084
1.638978,1.684841,12.568138,12.726331
0.432226,0.435248,18.125537,18.233377
0.550146,0.559915,23.060240,24.497989
1.505871,1.562324,15.820245,17.464114
1.302131,1.500798,19.662833,21.119552
0.802284,0.812390,26.051283,25.673005
1.314887,1.262544,26.735463,25.904285
0.360394,0.350896,48.751536,48.232674
0.814913,0.613995,17.868171,15.893575
0.612283,0.601554,20.479713,22.444664
0.464438,0.504174,22.499888,22.022095
0.826177,0.804711,20.971369,19.366004
0.588860,0.588960,25.050373,25.628668
0.611697,0.601532,5.958418,6.282599
0.574542,0.602148,22.580835,21.059645
0.788573,0.670709,21.958052,22.108540
2.708677,2.666200,8.561762,8.708022
4.235277,4.020313,9.917206,10.100302
0.547603,0.648101,21.858901,21.524582
2.789102,2.783158,10.374487,10.922578
0.460421,0.499721,16.851122,13.400546
0.834724,0.853432,9.094140,8.136414
3.687332,3.785816,11.327625,11.469958
0.668455,0.676173,27.687876,27.024099
0.894101,0.492411,38.813516,37.436660
0.638075,0.630211,19.227607,19.007314
0.496306,0.512721,33.577126,32.225059
0.651205,0.638873,8.370085,7.468474
2.337645,2.722393,14.642681,14.915322
0.643848,0.675973,15.231466,16.182469
0.975574,0.976633,6.286655,6.592046
6.036682,9.233762,5.160195,5.201758
0.636443,0.663544,9.992610,8.896822
1.128187,1.041032,27.917036,28.086315
1.300812,1.286855,11.730419,12.485254
2.037968,2.226603,20.431058,16.817785
0.968769,0.901341,21.758261,19.457528
0.613056,0.549239,18.795931,22.969125
1.220026,1.095044,20.026464,19.292956
2.347033,5.603336,10.182886,9.792517
0.614166,0.604458,10.316390,9.201609
0.716630,0.702632,32.323782,31.177011
2.088101,2.064886,6.658880,7.349803
0.828547,0.845733,22.995007,25.453890
4.049064,4.039580,8.054714,7.360847
0.876103,0.841070,9.082747,8.187818
0.472634,0.382872,33.164356,29.427880
0.658198,0.737172,11.690727,12.649146
0.536407,0.538639,22.114483,24.811533
2.734831,2.797958,4.843713,5.071882
0.564804,0.578389,19.592530,19.610711
0.269561,0.283463,11.668003,4.873913
0.765431,0.792201,24.780973,25.444306
1.193699,1.126480,24.346172,24.629784
0.820137,0.780021,21.586507,21.314455
0.863161,0.654161,14.751980,16.386905
2.882126,2.600820,15.588356,15.102423
0.683075,0.687948,23.692073,23.636010
0.653239,0.587642,12.658298,14.337370
1.119918,1.143922,22.505331,22.363941
0.418823,0.354583,44.084054,41.707582
2.174469,2.149240,17.231229,17.514080
6.192227,5.751205,9.079544,10.013765
1.379066,1.497064,24.904139,25.319150
1.450348,1.618568,7.723622,8.661363
0.344488,0.323841,15.262321,13.681364
0.982904,1.023924,20.678682,21.433263
0.403926,0.463056,27.676894,30.931668
1.168159,1.226704,15.272190,15.211656
